NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL
,mjupiter,au,day,,deg,jd,m/s,,,,
GJ 832 c,0.016749,0.162542,35.68,0.18,10,2449983.65,1.79,Wittenmyer 2014,http://adsabs.harvard.edu/abs/2014ApJ...791..114W,Wittenmyer 2014,http://adsabs.harvard.edu/abs/2014ApJ...791..114W
HD 200964 c,0.945722,2.00121,825,0.181,182.6,2455000,15.42,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J
HD 10180 h,0.206033,3.42452,2248,0.151,184,2453619.1739,3.11,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L
HD 33142 b,1.41137,1.09038,326.6,0.12,138,2455324,30.4,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 7924 b,0.0273647,0.0566417,5.39792,0.058,332,2455584.698,3.59,Fulton 2015,http://adsabs.harvard.edu/abs/2015ApJ...805..175F,Howard 2009,http://adsabs.harvard.edu/abs/2009ApJ...696...75H
HD 109271 c,0.0771544,0.195818,30.93,0.15,4,2455733,4.9,Lo Curto 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..59L,Lo Curto 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..59L
HD 99109 b,0.504198,1.10806,439.3,0.09,256,2451310,14.1,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 10647 b,0.925037,2.02175,1003,0.16,336,2450960,17.9,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 111591 b,4.44725,2.53363,1056.4,0.26,78.72,2455602.4,59,Jeong 2018,http://adsabs.harvard.edu/abs/2018A%26A...610A...3J,Jeong 2018,http://adsabs.harvard.edu/abs/2018A%26A...610A...3J
upsilon And c,1.91855,0.830445,241.33335,0.223848,250.76,2454265.567,53.6229,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Butler 1999,http://adsabs.harvard.edu/abs/1999ApJ...526..916B
HD 170469 b,0.668676,2.23538,1145,0.11,34,2451669,12,Fischer 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F,Fischer 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F
HD 88133 b,0.296108,0.0469104,3.41587,0.133,349,2453016.31,36.1,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Fischer 2005,http://adsabs.harvard.edu/abs/2005ApJ...620..481F
HD 196885 b,2.9439,2.54171,1333,0.48,78,2452554,53.9,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,Correia 2008,http://adsabs.harvard.edu/abs/2008A%26A...479..271C
24 Sex b,1.83564,1.4118,455.2,0.184,227,2454758,33.2,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J
HD 190228 b,5.94193,2.60478,1136.1,0.531,101.2,2453522,91.4,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Perrier 2003,http://adsabs.harvard.edu/abs/2003A%26A...410.1039P
HD 141399 b,0.450523,0.415174,94.44,0.04,-90,,19.23,Hebrard 2016,http://adsabs.harvard.edu/abs/2016A%26A...588A.145H,Vogt 2014,http://adsabs.harvard.edu/abs/2014ApJ...787...97V
HIP 74890 b,2.43024,2.06698,822.3,0.07,181.9,2454820.4,36.5,Jones 2016,http://adsabs.harvard.edu/abs/2016A%26A...590A..38J,Jones 2016,http://adsabs.harvard.edu/abs/2016A%26A...590A..38J
HD 181720 b,0.37199,1.84741,956,0.26,177,2453631,8.4,Santos 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..47S,Santos 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..47S
55 Cnc c,0.164558,0.237305,44.38,0.07,356,2453083,10.12,Endl 2012,http://adsabs.harvard.edu/abs/2012ApJ...759...19E,Marcy 2002,http://adsabs.harvard.edu/abs/2004ApJ...614L..81M
HD 156411 b,0.732711,1.87545,842.2,0.22,45,2454356,14,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N
91 Aqr b,3.07016,0.688457,181.4,0.027,177.3,2453472.1,91.5,Mitchell 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A..87M,Mitchell 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A..87M
HD 27894 b,0.617925,0.122117,17.990999,0.049,132.9,2453275.46,58.1,Moutou 2005,http://adsabs.harvard.edu/abs/2005A%26A...439..367M,Moutou 2005,http://adsabs.harvard.edu/abs/2005A%26A...439..367M
HD 156279 b,9.7848,0.494507,131.05,0.708,264.2,2455525.59,578,Diaz 2012,http://adsabs.harvard.edu/abs/2012A%26A...538A.113D,Diaz 2012,http://adsabs.harvard.edu/abs/2012A%26A...538A.113D
61 Vir d,0.0715929,0.474527,123.01,0.35,314,2453350.031126736,3.25,Vogt 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V,Vogt 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V
HD 179079 b,0.0837774,0.119635,14.476,0.115,357,2454400.5,6.64,Valenti 2009,http://adsabs.harvard.edu/abs/2009ApJ...702..989V,Valenti 2009,http://adsabs.harvard.edu/abs/2009ApJ...702..989V
Kepler-432 c,2.36402,1.17816,406.2,0.498,60.8,2456139.3,62.1,Quinn 2015,http://adsabs.harvard.edu/abs/2015ApJ...803...49Q,Ciceri 2015,http://adsabs.harvard.edu/abs/2015A%26A...573L...5C
HD 4113 b,1.64829,1.27266,526.62,0.903,317.7,2453778,97.1,Tamuz 2008,http://adsabs.harvard.edu/abs/2008A%26A...480L..33T,Tamuz 2008,http://adsabs.harvard.edu/abs/2008A%26A...480L..33T
HD 330075 b,0.623724,0.0392074,3.38773,0,0,2452878.815,107,Pepe 2004,http://adsabs.harvard.edu/abs/2004A%26A...423..385P,Pepe 2004,http://adsabs.harvard.edu/abs/2004A%26A...423..385P
HD 104985 b,4.9174,0.678014,199.505,0.09,203.5,2451927.5,166.8,Sato 2008,http://adsabs.harvard.edu/abs/2008PASJ...60..539S,Sato 2003,http://adsabs.harvard.edu/abs/2003ApJ...597L.157S
Ross 128 b,0.004436,0.0496746,9.8658,0.116,,2456740.07,1.39,Bonfils 2018,http://adsabs.harvard.edu/abs/2018A%26A...613A..25B,Bonfils 2018,http://adsabs.harvard.edu/abs/2018A%26A...613A..25B
HD 87883 b,1.75571,3.57648,2754,0.53,291,2451139,34.7,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F
HD 219134 f,0.0229933,0.146332,22.717,0.148,81,,1.92,Gillon 2017,http://adsabs.harvard.edu/abs/2017NatAs...1E..56G,Vogt 2015,http://adsabs.harvard.edu/abs/2015ApJ...814...12V
HD 10180 g,0.0673813,1.42271,602,0,90,2454042.585,1.56,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L
HD 66428 b,2.74962,3.14259,1973,0.465,152.9,2452139,48.3,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 52265 b,1.07139,0.499878,119.29,0.325,243,2450833.7,42.1,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2000,http://adsabs.harvard.edu/abs/2000ApJ...545..504B
HD 147873 c,2.24603,1.35778,491.54,0.23,42,,47.9,Jenkins 2017,http://adsabs.harvard.edu/abs/2017MNRAS.466..443J,Jenkins 2017,http://adsabs.harvard.edu/abs/2017MNRAS.466..443J
HD 16417 b,0.0669595,0.135435,17.24,0.2,77,2450099.74,5,O'Toole 2009,http://adsabs.harvard.edu/abs/2009ApJ...697.1263O,O'Toole 2009,http://adsabs.harvard.edu/abs/2009ApJ...697.1263O
HD 205739 b,1.48708,0.894939,279.8,0.27,301,2453390.7,42,Lopez-Morales 2008,http://adsabs.harvard.edu/abs/2008AJ....136.1901L,Lopez-Morales 2008,http://adsabs.harvard.edu/abs/2008AJ....136.1901L
HD 216770 b,0.646927,0.455837,118.45,0.37,281,2452672,30.9,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M
HD 136418 b,1.9935,1.29111,464.3,0.255,12,2455228,44.7,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J
gamma Lib c,4.58986,2.17458,964.6,0.057,146,2450725,73,Takarada 2018,http://adsabs.harvard.edu/abs/2018PASJ..tmp...64T,Takarada 2018,http://adsabs.harvard.edu/abs/2018PASJ..tmp...64T
GJ 163 d,0.0926098,1.03037,603.95116,0.373,2.064,2452876.6622,4.42,Bonfils 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.110B,Bonfils 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.110B
HD 215152 e,0.00905232,0.15417,25.1967,0,90,,0.747,Delisle 2018,http://adsabs.harvard.edu/abs/2018A%26A...614A.133D,Delisle 2018,http://adsabs.harvard.edu/abs/2018A%26A...614A.133D
HD 188015 b,1.46957,1.19018,461.2,0.137,222,2451787,37.6,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Marcy 2005,http://adsabs.harvard.edu/abs/2005ApJ...619..570M
HD 10180 d,0.0376549,0.128581,16.3567,0.143,292,2454005.3799,2.93,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L,Lovis 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.112L
HD 9446 c,1.81548,0.65375,192.9,0.06,100,2454510,63.9,Hebrard 2010,http://adsabs.harvard.edu/abs/2010A&A...513A..69H,Hebrard 2010,http://adsabs.harvard.edu/abs/2010A&A...513A..69H
HD 37124 b,0.674371,0.533637,154.378,0.054,130,2450305,28.5,Wright 2011,http://adsabs.harvard.edu/abs/2011ApJ...730...93W,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V
gamma Cep b,1.51728,1.9793,905.574,0.12,49.6,2453121.925,27.5,Hatzes 2003,http://adsabs.harvard.edu/abs/2003ApJ...599.1383H,Campbell 1988,http://adsabs.harvard.edu/abs/1988ApJ...331..902C
HD 1605 c,3.50295,3.52689,2111,0.098,241,2454758.3,46.5,Harakawa 2015,http://adsabs.harvard.edu/abs/2015ApJ...806....5H,Harakawa 2015,http://adsabs.harvard.edu/abs/2015ApJ...806....5H
GJ 86 b,4.00104,0.114217,15.76491,0.0416,269,2451903.36,376.7,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Queloz 2000,http://adsabs.harvard.edu/abs/2000A%26A...354...99Q
HD 8574 b,1.80603,0.757141,227,0.297,26.6,2453981,58.3,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Perrier 2003,http://adsabs.harvard.edu/abs/2003A%26A...410.1039P
HD 82886 b,1.30477,1.58126,705,0.066,347,2455200,28.7,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 179949 b,0.902075,0.0439208,3.092514,0.022,192,2451002.36,112.6,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2001,http://adsabs.harvard.edu/abs/2001ApJ...551..507T
GJ 3293 e,0.0104938,0.0820805,13.25319599,0.215874,118.738,2456014.055127659,1.64572,Astudillo-Defru 2015 (corrected; private communication),http://adsabs.harvard.edu/abs/2015A%26A...575A.119A,Astudillo-Defru 2015,http://adsabs.harvard.edu/abs/2015A%26A...575A.119A
HD 2952 b,1.62021,1.22755,311.6,0.129,64,2450112,26.3,Sato 2013,http://adsabs.harvard.edu/abs/2013arXiv1304.4328S,Sato 2013,http://adsabs.harvard.edu/abs/2013arXiv1304.4328S
YZ Cet b,0.00234218,0.0155735,1.96876,0,-63.4,2456844.45,1.48,Astudillo-Defru 2017,http://adsabs.harvard.edu/abs/2017A%26A...605L..11A,Astudillo-Defru 2017,http://adsabs.harvard.edu/abs/2017A%26A...605L..11A
HIP 14810 c,1.27518,0.545404,147.76916,0.153155,327.286,2454671.631,49.8989,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...699L..97W,Wright 2007,http://adsabs.harvard.edu/abs/2007ApJ...657..533W
HD 28678 b,1.8997,1.31659,387.1,0.168,128,2455517,33.5,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 143105 b,1.21302,0.0379591,2.1974,0,90,2456531.344,144,Hebrard 2016,http://adsabs.harvard.edu/abs/2016A%26A...588A.145H,Hebrard 2016,http://adsabs.harvard.edu/abs/2016A%26A...588A.145H
HD 96167 b,0.68457,1.34724,498.9,0.71,285,2453057,20.8,Peek 2009,http://adsabs.harvard.edu/abs/2009PASP..121..613P,Peek 2009,http://adsabs.harvard.edu/abs/2009PASP..121..613P
HD 43197 b,0.596868,0.918027,327.8,0.83,251,2454713.8,32.4,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N,Naef 2010,http://adsabs.harvard.edu/abs/2010A%26A...523A..15N
HD 37605 c,3.36552,3.81754,2720,0.013,221,2454838,48.9,Wang 2012,http://adsabs.harvard.edu/abs/2012ApJ...761...46W,Wang 2012,http://adsabs.harvard.edu/abs/2012ApJ...761...46W
TYC 3667-1280-1 b,5.40146,0.214338,26.468,0.036,240,2456319.6,242.4,Niedzielski 2016,http://adsabs.harvard.edu/abs/2016A%26A...589L...1N,Niedzielski 2016,http://adsabs.harvard.edu/abs/2016A%26A...589L...1N
GJ 273 c,0.00374866,0.0364676,4.72335022,0.169278,150.973,2456234.6922407043,1.05158,Astudillo-Defru 2017 (corrected; private communication),http://adsabs.harvard.edu/abs/2017A%26A...602A..88A,Astudillo-Defru 2017,http://adsabs.harvard.edu/abs/2017A%26A...602A..88A
HD 183263 b,3.57445,1.49006,626.516,0.35672,233.532,2452111.688,84.0443,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Marcy 2005,http://adsabs.harvard.edu/abs/2005ApJ...619..570M
11 Com b,16.1284,1.17872,326.03,0.231,94.8,2452899.6,302.8,Liu 2008,http://adsabs.harvard.edu/abs/2008ApJ...672..553L,Liu 2008,http://adsabs.harvard.edu/abs/2008ApJ...672..553L
HD 145377 b,5.78201,0.450064,103.95,0.307,138.1,2454635.4,242.7,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M
omicron CrB b,1.47736,0.826048,187.83,0.191,79,2452211,32.25,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64..135S,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64..135S
HD 47366 c,1.86351,1.85343,684.7,0.278,132,2450445,30.1,Sato 2016,http://adsabs.harvard.edu/abs/2016ApJ...819...59S,Sato 2016,http://adsabs.harvard.edu/abs/2016ApJ...819...59S
beta Gem b,2.75822,1.75739,589.64001,0.02,354.58,2447739.02,41,Hatzes 2006,http://adsabs.harvard.edu/abs/2006A%26A...457..335H,Hatzes 1993,http://adsabs.harvard.edu/abs/1993ApJ...413..339H
Pr 201 b,0.540155,0.0565986,4.4264,0,90,2455992.861,58.1,Quinn 2012,http://adsabs.harvard.edu/abs/2012ApJ...756L..33Q,Quinn 2012,http://adsabs.harvard.edu/abs/2012ApJ...756L..33Q
47 UMa b,2.54589,2.10149,1078,0.032,334,2451917,48.4,Gregory 2010,http://adsabs.harvard.edu/abs/2010MNRAS.403..731G,Butler 1996,http://adsabs.harvard.edu/abs/1996ApJ...464L.153B
HD 240210 b,7.28868,1.33364,501.75,0.15,277.49,2454486.76,161.89,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N
HD 109749 b,0.27467,0.0629198,5.24,0,0,2453013.55,28.3,Fischer 2006,http://adsabs.harvard.edu/abs/2006ApJ...637.1094F,Fischer 2006,http://adsabs.harvard.edu/abs/2006ApJ...637.1094F
HD 45364 c,0.658513,0.897549,342.85,0.0974,7.41,2453250.376643117,21.92,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C
HD 11506 c,0.36,0.774655,223.6,0.24,272,2454127,12.5,Giguere 2015,http://adsabs.harvard.edu/abs/2015ApJ...799...89G,Giguere 2015,http://adsabs.harvard.edu/abs/2015ApJ...799...89G
24 Boo b,0.912932,0.189841,30.3506,0.042,210,2450008.6,59.9,Takarada 2018,http://adsabs.harvard.edu/abs/2018PASJ..tmp...64T,Takarada 2018,http://adsabs.harvard.edu/abs/2018PASJ..tmp...64T
HD 147379 b,0.0778032,0.319334,86.54,0.01,93,2451665.1,5.14,Reiners 2018,http://adsabs.harvard.edu/abs/2018A%26A...609L...5R,Reiners 2018,http://adsabs.harvard.edu/abs/2018A%26A...609L...5R
HD 159243 c,1.9,0.804743,248.4,0.075,69,2456484,56.6,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M
HD 158996 b,14.0573,2.09115,820.2,0.13,168,2454993,207,Bang 2018,http://adsabs.harvard.edu/abs/2018JKAS...51...17B,Bang 2018,http://adsabs.harvard.edu/abs/2018JKAS...51...17B
GJ 3470 b,0.0439856,0.0356088,3.336649,0,90,2456340.72559,9.01,Bonfils 2012,http://adsabs.harvard.edu/abs/2012A%26A...546A..27B,Bonfils 2012,http://adsabs.harvard.edu/abs/2012A%26A...546A..27B
eta Cet c,3.28703,1.91985,744.5,0.025,32.5,,51.7,Trifonov 2014,http://adsabs.harvard.edu/abs/2014A%26A...568A..64T,Trifonov 2014,http://adsabs.harvard.edu/abs/2014A%26A...568A..64T
HD 96127 b,4.00701,1.42112,647.3,0.3,162,2453969.4,104.8,Gettel 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...28G,Gettel 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...28G
HD 17156 b,3.30035,0.163197,21.21663,0.6819,121.9,2454757.00787,279.8,Barbieri 2009,http://adsabs.harvard.edu/abs/2009A%26A...503..601B,Fischer 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F
HD 16760 b,13.2921,1.08727,465.1,0.067,232,2454723,408,Sato 2009,http://adsabs.harvard.edu/abs/2009ApJ...703..671S,Sato 2009,http://adsabs.harvard.edu/abs/2009ApJ...703..671S
HD 30562 b,1.33254,2.34083,1157,0.76,81,2450131.5,33.7,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F
epsilon CrB b,6.04937,1.23696,417.9,0.11,133.1,2451235.3,129.4,Lee 2012,http://adsabs.harvard.edu/abs/2012A%26A...546A...5L,Lee 2012,http://adsabs.harvard.edu/abs/2012A%26A...546A...5L
omicron UMa b,4.09607,3.94973,1630,0.13,58,2453400,33.6,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64..135S,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64..135S
HD 208897 b,1.39736,1.05277,352.7,0.07,167,2455036,34.7,Yilmaz 2017,http://adsabs.harvard.edu/abs/2017A%26A...608A..14Y,Yilmaz 2017,http://adsabs.harvard.edu/abs/2017A%26A...608A..14Y
HD 11755 b,6.55071,1.08513,433.7,0.19,155.3,2457018.2,191.3,Lee 2015,http://adsabs.harvard.edu/abs/2015A%26A...584A..79L,Lee 2015,http://adsabs.harvard.edu/abs/2015A%26A...584A..79L
HD 102195 b,0.452799,0.0479747,4.113775,0,0,2453895.96,63,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,Ge 2006,http://adsabs.harvard.edu/abs/2006ApJ...648..683G
